id timeDepart departDuration timeArrive returnDepartTime arriveDuration returnArriveTime price1 price2 price3 price4 
0 11:40  2210  09:50     05:30   2455  06:25   10680.19   10680.19  11712 
1  11:40  2210  09:50     05:30   0550  11:20  10680.19   10680.19  11712 
2  11:40  2210  09:50     05:30   1025  15:55  10680.19   10680.19  11712 
3  11:40  2210  09:50     10:30   1955  06:25   10680.19   10680.19  11712 
4  11:40  2210  09:50     10:30   0525  15:55  10680.19   10680.19  11712 
5  07:05  0830  15:35    05:30   2455  06:25   10680.69   10680.69  11712  21528 
6  07:05  0830  15:35    05:30   0550  11:20  10680.69   10680.69  11712  29555 
7  07:05  0830  15:35    05:30   1025  15:55  10680.69   10680.69  11712  21528 
8  07:05  0830  15:35    10:30   1955  06:25   10680.69   10680.69  11712  21528 
9  07:05  0830  15:35    10:30   0525  15:55  10680.69   10680.69  11712  21528 
10  11:40  0355  15:35    05:30   2455  06:25   10680.69   10680.69  11712  22057 
11  11:40  0355  15:35    05:30   0550  11:20  10680.69   10680.69  11712  16802 
12  11:40  0355  15:35    05:30   1025  15:55  10680.69   10680.69  11712  22057 
13  11:40  0355  15:35    10:30   1955  06:25   10680.69   10680.69  11712  22057 
14  11:40  0355  15:35    10:30   0525  15:55  10680.69   10680.69  11712  17838 
15  07:05  0830  15:35    16:15   1410  06:25   11121.96   11121.96  12129  21528 
16  07:05  1435  21:40    05:30   2455  06:25   11121.96   11121.96  12129  12483 
17  07:05  1435  21:40    05:30   0550  11:20  11121.96   11121.96  12129  13059 
18  07:05  1435  21:40    05:30   1025  15:55  11121.96   11121.96  12129  12483 
19  07:05  1435  21:40    10:30   1955  06:25   11121.96   11121.96  12129  14096
